Column1,file_name,dz,huden,nzy,mean,max-min
232,00430.jpeg,76,65,82,75,17
233,00432.jpeg,70,70,65,69,5
234,00433.jpeg,80,79,71,77,9
235,00434.jpeg,73,64,66,68,9
236,00435.jpeg,83,73,62,73,21
237,00436.jpeg,88,74,80,81,14
238,00437.jpeg,85,86,87,86,2
239,00438.jpeg,90,84,82,86,8
240,00439.jpeg,87,81,78,82,9
241,00440.jpeg,89,81,84,85,8
242,00441.jpeg,80,83,75,80,8
243,00442.jpeg,80,83,76,80,7
244,00443.jpeg,25,43,39,36,18
245,00444.jpeg,55,42,42,47,13
246,00446.jpeg,45,35,35,39,10
247,00447.jpeg,67,51,75,65,24
248,00448.jpeg,66,51,75,64,24
249,00449.jpeg,71,63,71,69,8
250,00450.jpeg,75,63,71,70,12
251,00451.jpeg,61,61,69,64,8
252,00452.jpeg,50,54,47,51,7
253,00453.jpeg,69,68,65,68,4
254,00454.jpeg,82,75,88,82,13
255,00455.jpeg,90,77,92,87,15
256,00456.jpeg,81,75,90,82,15
257,00457.jpeg,70,68,45,61,25
258,00458.jpeg,39,64,39,48,25
259,00459.jpeg,86,85,85,86,1
260,00460.jpeg,44,53,40,46,13
261,00461.jpeg,49,59,50,53,10
262,00462.jpeg,63,64,57,62,7
263,00463.jpeg,63,57,51,57,12
264,00464.jpeg,56,68,53,59,15
265,00465.jpeg,58,68,69,65,11
266,00466.jpeg,51,56,51,53,5
267,00467.jpeg,49,62,43,52,19
268,00471.jpeg,77,72,78,76,6
269,00472.jpeg,77,75,78,77,3
270,00473.jpeg,56,65,63,62,9
271,00474.jpeg,77,82,87,82,10
272,00475.jpeg,60,55,50,55,10
273,00482.jpeg,66,63,61,64,5
274,00493.jpeg,41,48,46,45,7
275,00494.jpeg,48,67,53,56,19
276,00496.jpeg,56,56,60,58,4
277,00497.jpeg,50,41,44,45,9
278,00498.jpeg,60,64,63,63,4
279,00499.jpeg,65,69,61,65,8
280,00500.jpeg,66,69,76,71,10
281,00501.jpeg,80,78,92,84,14
282,00502.jpeg,57,64,62,61,7
283,00504.jpeg,79,86,89,85,10
284,00505.jpeg,81,79,81,81,2
285,00509.jpeg,50,54,54,53,4
286,00510.jpeg,50,54,50,52,4
287,00511.jpeg,61,81,77,73,20
288,00512.jpeg,58,69,48,59,21
289,00513.jpeg,64,69,71,68,7
290,00514.jpeg,70,72,70,71,2
291,00515.jpeg,66,75,61,68,14
292,00516.jpeg,40,34,27,34,13
293,00517.jpeg,44,27,27,33,17
294,00518.jpeg,75,61,69,69,14
295,00519.jpeg,70,61,52,61,18
296,00520.jpeg,60,70,60,64,10
297,00521.jpeg,81,87,92,87,11
298,00522.jpeg,84,87,92,88,8
299,00523.jpeg,74,82,75,77,8
300,00524.jpeg,65,76,71,71,11
301,00525.jpeg,50,63,43,52,20
302,00526.jpeg,62,66,59,63,7
303,00527.jpeg,78,70,78,76,8
304,00528.jpeg,43,58,55,52,15
305,00529.jpeg,90,85,81,86,9
306,00530.jpeg,89,85,84,86,5
307,00533.jpeg,70,72,71,71,2
308,00534.jpeg,71,72,71,72,1
309,00536.jpeg,13,9,7,10,6
310,00538.jpeg,80,79,79,80,1
311,00539.jpeg,80,76,78,78,4
312,00540.jpeg,64,58,60,61,6
313,00544.jpeg,77,78,80,79,3
314,00548.jpeg,80,78,78,79,2
315,00549.jpeg,48,50,48,49,2
316,00550.jpeg,70,79,70,73,9
317,00551.jpeg,70,77,70,73,7
318,00552.jpeg,72,70,60,68,12
319,00553.jpeg,71,68,60,67,11
320,00554.jpeg,86,85,80,84,6
321,00555.jpeg,79,88,70,79,18
322,00558.jpeg,83,80,71,78,12
323,00559.jpeg,50,55,51,52,5
324,00560.jpeg,70,65,60,65,10
325,00561.jpeg,76,70,71,73,6
326,00562.jpeg,82,75,79,79,7
327,00563.jpeg,69,69,69,69,0
328,00564.jpeg,60,57,56,58,4
329,00569.jpeg,84,71,85,80,14
330,00570.jpeg,83,78,87,83,9
331,00571.jpeg,64,72,76,71,12
332,00572.jpeg,8,7,6,7,2
333,00573.jpeg,48,52,50,50,4
334,00575.jpeg,5,0,2,3,5
335,00576.jpeg,70,53,69,64,17
336,00577.jpeg,78,68,76,74,10
337,00578.jpeg,76,76,80,78,4
338,00579.jpeg,74,68,74,72,6
339,00580.jpeg,40,25,40,35,15
340,00582.jpeg,77,74,73,75,4
341,00583.jpeg,69,75,57,67,18
342,00584.jpeg,69,70,57,66,13
343,00585.jpeg,57,71,65,65,14
344,00586.jpeg,68,76,80,75,12
345,00587.jpeg,59,59,50,56,9
346,00588.jpeg,25,31,20,26,11
347,00589.jpeg,40,45,30,39,15
348,00591.jpeg,55,56,58,57,3
349,00596.jpeg,22,11,7,14,15
350,00598.jpeg,58,51,61,57,10
351,00601.jpeg,22,25,30,26,8
352,00604.jpeg,67,65,78,70,13
353,00605.jpeg,62,65,76,68,14
354,00606.jpeg,77,74,82,78,8
355,00607.jpeg,79,74,84,79,10
356,00608.jpeg,46,34,30,37,16
357,00609.jpeg,59,65,60,62,6
358,00610.jpeg,51,55,48,52,7
359,00611.jpeg,34,54,51,47,20
360,00612.jpeg,21,42,30,31,21
361,00613.jpeg,65,67,70,68,5
362,00614.jpeg,50,57,55,54,7
363,00615.jpeg,57,65,65,63,8
364,00616.jpeg,70,90,77,79,20
365,00617.jpeg,70,80,65,72,15
366,00618.jpeg,67,70,65,68,5
367,00621.jpeg,71,71,74,72,3
368,00622.jpeg,71,71,76,73,5
369,00623.jpeg,55,58,50,55,8
370,00624.jpeg,51,59,55,55,8
371,00625.jpeg,50,66,70,62,20
372,00626.jpeg,47,66,60,58,19
373,00627.jpeg,47,71,70,63,24
374,00631.jpeg,56,67,53,59,14
375,00632.jpeg,41,43,28,38,15
376,00633.jpeg,60,60,70,64,10
377,00634.jpeg,74,90,79,81,16
378,00638.jpeg,20,48,30,33,28
379,00639.jpeg,35,48,38,41,13
380,00640.jpeg,17,24,16,19,8
381,00641.jpeg,14,17,20,17,6
382,00642.jpeg,73,68,86,76,18
383,00643.jpeg,79,70,88,79,18
384,00644.jpeg,44,56,41,47,15
385,00645.jpeg,40,60,48,50,20
386,00646.jpeg,64,63,64,64,1
387,00647.jpeg,60,56,52,56,8
388,00648.jpeg,55,48,49,51,7
389,00649.jpeg,56,48,55,53,8
390,00650.jpeg,40,57,35,44,22
391,00651.jpeg,40,57,35,44,22
392,00652.jpeg,79,78,74,77,5
393,00653.jpeg,76,78,73,76,5
394,00654.jpeg,70,76,72,73,6
395,00655.jpeg,61,74,77,71,16
396,00656.jpeg,20,14,29,21,15
397,00658.jpeg,44,57,67,56,23
398,00662.jpeg,74,55,55,62,19
399,00663.jpeg,60,55,54,57,6
400,00665.jpeg,45,43,41,43,4
401,00667.jpeg,77,75,68,74,9
402,00668.jpeg,86,78,92,86,14
403,00669.jpeg,87,78,94,87,16
404,00670.jpeg,65,67,49,61,18
405,00671.jpeg,29,47,49,42,20
406,00672.jpeg,76,74,79,77,5
407,00673.jpeg,76,72,79,76,7
408,00674.jpeg,55,56,70,61,15
409,00675.jpeg,55,56,70,61,15
410,00676.jpeg,1,1,1,1,0
411,00677.jpeg,46,54,68,56,22
412,00678.jpeg,82,86,65,78,21
413,00683.jpeg,79,84,60,75,24
414,00684.jpeg,79,78,79,79,1
415,00685.jpeg,59,60,55,58,5
416,00686.jpeg,30,37,28,32,9
417,00687.jpeg,17,42,28,29,25
418,00688.jpeg,14,36,35,29,22
419,00691.jpeg,1,1,1,1,0
420,00693.jpeg,7,25,28,20,21
421,00696.jpeg,80,76,71,76,9
422,00697.jpeg,82,78,75,79,7
423,00698.jpeg,37,47,27,37,20
424,00699.jpeg,17,30,22,23,13
425,00700.jpeg,69,64,69,68,5
426,00701.jpeg,55,43,47,49,12
427,00702.jpeg,55,45,47,49,10
428,00703.jpeg,44,54,57,52,13
429,00704.jpeg,44,54,65,55,21
430,00705.jpeg,70,67,50,63,20
431,00706.jpeg,70,67,60,66,10
432,00707.jpeg,66,58,70,65,12
433,00708.jpeg,6,5,4,5,2
434,00709.jpeg,70,63,80,71,17
435,00710.jpeg,71,63,71,69,8
436,00711.jpeg,52,47,55,52,8
437,00713.jpeg,57,44,50,51,13
438,00714.jpeg,79,60,64,68,19
439,00715.jpeg,44,45,60,50,16
440,00716.jpeg,77,63,79,73,16
441,00717.jpeg,75,62,82,73,20
442,00718.jpeg,75,60,82,73,22
443,00719.jpeg,89,84,87,87,5
444,00720.jpeg,87,84,87,86,3
445,00721.jpeg,80,76,72,76,8
446,00722.jpeg,70,64,70,68,6
447,00723.jpeg,67,63,70,67,7
448,00724.jpeg,71,60,48,60,23
449,00725.jpeg,84,69,82,79,15
450,00726.jpeg,47,59,68,58,21
451,00727.jpeg,48,59,68,59,20
452,00728.jpeg,61,63,77,67,16
453,00729.jpeg,68,65,79,71,14
454,00730.jpeg,65,84,79,76,19
455,00731.jpeg,16,33,14,21,19
456,00732.jpeg,45,40,45,44,5
457,00733.jpeg79.5,79.5,79,80,80,1
458,00734.jpeg,40,42,34,39,8
459,00735.jpeg,80,83,82,82,3
460,00736.jpeg,84,83,82,83,2
461,00737.jpeg,56,55,37,50,19
462,00738.jpeg,35,36,22,31,14
463,00739.jpeg,27,41,26,32,15
464,00740.jpeg,25,30,22,26,8
465,00741.jpeg,45,40,50,45,10
466,00742.jpeg,70,66,66,68,4
467,00743.jpeg,72,68,61,67,11
468,00744.jpeg,78,77,75,77,3
469,00745.jpeg,69,60,60,63,9
470,00746.jpeg,77,81,71,77,10
471,00747.jpeg,73,81,69,75,12
472,00750.jpeg,72,76,65,71,11
473,00751.jpeg,50,52,36,46,16
474,00752.jpeg,64,49,39,51,25
475,00753.jpeg,30,41,29,34,12
476,00754.jpeg,82,81,77,80,5
477,00755.jpeg,88,84,84,86,4
478,00756.jpeg,76,76,71,75,5
479,00757.jpeg,70,78,76,75,8
480,00758.jpeg,79,80,72,77,8
481,00759.jpeg,86,85,90,87,5
482,00760.jpeg,70,80,71,74,10
483,00761.jpeg,71,80,75,76,9
484,00762.jpeg,83,90,87,87,7
485,00763.jpeg,80,84,87,84,7
486,00764.jpeg,72,76,90,80,18
487,00765.jpeg,84,80,94,86,14
488,00766.jpeg,80,85,78,81,7
489,00767.jpeg,71,80,77,76,9
490,00768.jpeg,57,49,41,49,16
491,00769.jpeg,37,48,34,40,14
492,00770.jpeg,76,78,59,71,19
493,00771.jpeg,50,62,40,51,22
494,00772.jpeg,48,48,40,46,8
495,00773.jpeg,25,48,50,41,25
496,00774.jpeg,43,55,60,53,17
497,00775.jpeg,76,78,63,73,15
498,00776.jpeg,76,78,75,77,3
499,00779.jpeg,76,68,61,69,15
500,00780.jpeg,83,79,77,80,6
501,00781.jpeg,62,60,64,62,4
502,00782.jpeg,77,74,79,77,5
503,00783.jpeg,75,70,71,72,5
504,00784.jpeg,79,76,79,78,3
505,00785.jpeg,76,76,79,77,3
506,00786.jpeg,67,77,75,73,10
507,00787.jpeg,88,80,92,87,12
508,00788.jpeg,72,76,79,76,7
509,00789.jpeg,71,76,79,76,8
510,00790.jpeg,69,53,69,64,16
511,00791.jpeg,66,58,70,65,12
512,00792.jpeg,61,63,68,64,7
513,00793.jpeg,54,47,35,46,19
514,00794.jpeg,59,57,59,59,2
515,00795.jpeg,70,65,70,69,5
516,00796.jpeg,61,58,60,60,3
517,00797.jpeg,62,45,40,49,22
518,00798.jpeg,59,45,40,48,19
519,00799.jpeg,73,75,71,73,4
520,00800.jpeg,78,88,90,86,12
521,00801.jpeg,74,79,73,76,6
522,00802.jpeg,71,79,72,74,8
523,00803.jpeg,63,60,55,60,8
524,00804.jpeg,62,40,45,49,22
525,00805.jpeg,62,46,50,53,16
526,00806.jpeg,51,35,40,42,16
527,00807.jpeg,45,30,41,39,15
528,00808.jpeg,67,72,71,70,5
529,00809.jpeg,80,78,80,80,2
530,00810.jpeg,80,76,79,79,4
531,00811.jpeg,76,76,76,76,0
532,00813.jpeg,50,40,56,49,16
533,00814.jpeg,62,70,78,70,16
534,00815.jpeg,62,68,73,68,11
535,00816.jpeg,61,72,70,68,11
536,00817.jpeg,54,55,50,53,5
537,00818.jpeg,60,55,61,59,6
538,00819.jpeg,68,68,70,69,2
539,00820.jpeg,38,38,24,34,14
540,00821.jpeg,16,10,4,10,12
541,00822.jpeg,13,5,2,7,11
542,00823.jpeg,82,80,79,81,3
543,00824.jpeg,69,74,71,72,5
544,00825.jpeg,73,77,74,75,4
545,00826.jpeg,69,73,70,71,4
546,00827.jpeg,70,69,80,73,11
547,00828.jpeg,63,65,58,62,7
548,00829.jpeg,64,68,50,61,18
549,00830.jpeg,64,59,53,59,11
550,00831.jpeg,61,64,50,59,14
551,00832.jpeg,67,65,79,71,14
552,00833.jpeg,40,40,40,40,0
553,00834.jpeg,59,45,41,49,18
554,00835.jpeg,63,56,60,60,7
555,00836.jpeg,52,54,38,48,16
556,00838.jpeg,70,60,65,65,10
557,00839.jpeg,69,58,60,63,11
558,00840.jpeg,73,64,63,67,10
559,00841.jpeg,71,64,65,67,7
560,00842.jpeg,68,69,63,67,6
561,00843.jpeg,61,47,48,52,14
562,00844.jpeg,59,49,45,51,14
563,00845.jpeg,54,56,58,56,4
564,00846.jpeg,56,59,78,65,22
565,00847.jpeg,51,55,60,56,9
566,00850.jpeg,76,72,77,75,5
567,00851.jpeg,75,70,74,73,5
568,00852.jpeg,78,72,75,75,6
569,00853.jpeg,77,71,71,73,6
570,00854.jpeg,74,71,80,75,9
571,00855.jpeg,78,74,80,78,6
572,00856.jpeg,44,55,43,48,12
573,00857.jpeg,44,58,49,51,14
574,00858.jpeg,55,67,60,61,12
575,00859.jpeg,45,42,35,41,10
576,00860.jpeg,60,64,63,63,4
577,00861.jpeg,49,30,50,43,20
578,00862.jpeg,52,48,60,54,12
579,00863.jpeg,76,76,72,75,4
580,00864.jpeg,80,76,72,76,8
581,00867.jpeg,35,43,43,41,8
582,00868.jpeg,43,55,45,48,12
583,00870.jpeg,60,55,58,58,5
584,00873.jpeg,66,68,65,67,3
585,00874.jpeg,56,60,69,62,13
586,00875.jpeg,56,57,70,61,14
587,00876.jpeg,51,68,61,60,17
588,00877.jpeg,54,69,70,65,16
589,00878.jpeg,80,74,78,78,6
590,00879.jpeg,55,57,55,56,2
591,00880.jpeg,80,75,80,79,5
592,00881.jpeg,83,78,85,82,7
593,00882.jpeg,77,60,70,69,17
594,00883.jpeg,73,60,54,63,19
595,00884.jpeg,53,44,45,48,9
596,00885.jpeg,16,22,15,18,7
597,00886.jpeg,77,74,77,76,3
598,00887.jpeg,70,56,58,62,14
599,00888.jpeg,60,46,43,50,17
600,00889.jpeg,59,40,55,52,19
601,00890.jpeg,66,45,43,52,23
602,00891.jpeg,70,60,56,62,14
603,00892.jpeg,79,86,87,84,8
604,00893.jpeg,81,90,89,87,9
605,00900.jpeg,79,84,90,85,11
606,00903.jpeg,83,88,89,87,6
607,00908.jpeg,86,85,89,87,4
608,00912.jpeg,84,90,85,87,6
609,00913.jpeg,84,95,88,89,11
610,00914.jpeg,87,95,88,90,8
611,00915.jpeg,80,92,85,86,12
612,00917.jpeg,77,87,80,82,10
613,00918.jpeg,70,80,78,76,10
614,00919.jpeg,5,8,2,5,6
615,00923.jpeg,20,10,22,18,12
616,00924.jpeg,21,15,27,21,12
617,00928.jpeg,84,94,85,88,10
618,00929.jpeg,83,85,85,85,2
619,00932.jpeg,74,77,79,77,5
620,00933.jpeg,75,77,76,76,2
621,00934.jpeg,78,79,85,81,7
622,00935.jpeg,84,84,80,83,4
623,00936.jpeg,49,30,47,42,19
624,00938.jpeg,84,80,75,80,9
625,00939.jpeg,79,85,72,79,13
626,00940.jpeg,79,79,91,83,12
627,00941.jpeg,80,80,79,80,1
628,00942.jpeg,18,15,15,16,3
629,00946.jpeg,67,79,73,73,12
630,00948.jpeg,72,83,79,78,11
631,00950.jpeg,68,60,78,69,18
632,00951.jpeg,68,68,73,70,5
633,00952.jpeg,72,71,71,72,1
634,00953.jpeg,70,60,50,60,20
635,00955.jpeg,47,43,23,38,24
636,00956.jpeg,80,73,78,77,7
637,00957.jpeg,50,48,43,47,7
638,00958.jpeg,50,50,43,48,7
639,00959.jpeg,76,57,69,68,19
640,00960.jpeg,76,64,78,73,14
641,00961.jpeg,71,58,58,63,13
642,00962.jpeg,78,76,79,78,3
643,00963.jpeg,78,70,73,74,8
644,00964.jpeg,67,50,59,59,17
645,00965.jpeg,67,55,63,62,12
646,00966.jpeg,80,80,81,81,1
647,00967.jpeg,68,72,88,76,20
648,00968.jpeg,68,70,60,66,10
649,00969.jpeg,80,73,78,77,7
650,00970.jpeg,80,73,75,76,7
651,00971.jpeg,54,56,60,57,6
652,00972.jpeg,70,65,79,72,14
653,00973.jpeg,53,47,59,53,12
654,00974.jpeg,53,54,59,56,6
655,00975.jpeg,59,65,75,67,16
656,00976.jpeg,59,43,54,52,16
657,00977.jpeg,50,65,67,61,17
658,00978.jpeg,48,45,44,46,4
659,00983.jpeg,52,66,76,65,24
660,00984.jpeg,56,66,70,64,14
661,00985.jpeg,56,66,60,61,10
662,00986.jpeg,89,81,82,84,8
663,00987.jpeg,88,81,82,84,7
664,00988.jpeg,72,72,69,71,3
665,00990.jpeg,81,79,77,79,4
666,00991.jpeg,80,75,75,77,5
667,00992.jpeg,85,85,91,87,6
668,00993.jpeg,86,80,90,86,10
669,00995.jpeg,74,75,84,78,10
670,00996.jpeg,80,80,92,84,12
671,00997.jpeg,82,85,88,85,6
672,00998.jpeg,89,90,89,90,1
673,00999.jpeg,74,80,76,77,6
674,01000.jpeg,77,80,59,72,21
675,01001.jpeg,78,83,72,78,11
676,01002.jpeg,77,65,59,67,18
677,01003.jpeg,59,60,38,53,22
678,01005.jpeg,58,63,40,54,23
679,01007.jpeg,58,56,33,49,25
680,01009.jpeg,71,69,75,72,6
681,01010.jpeg,79,74,73,76,6
682,01011.jpeg,70,76,76,74,6
683,01012.jpeg,70,76,76,74,6
684,01013.jpeg,69,74,56,67,18
685,01016.jpeg,80,78,79,79,2
686,01017.jpeg,82,82,79,81,3
687,01018.jpeg,79,80,72,77,8
688,01019.jpeg,79,80,76,79,4
689,01020.jpeg,49,60,63,58,14
690,01021.jpeg,50,60,63,58,13
691,01022.jpeg,50,54,56,54,6
692,01023.jpeg,72,65,70,69,7
693,01024.jpeg,74,63,70,69,11
694,01025.jpeg,69,54,45,56,24
695,01026.jpeg,70,70,79,73,9
696,01027.jpeg,70,72,79,74,9
